ID,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL3409984,12.50870346749811,12.50870346749811,0.030889419039219712,-3.5222138369236577,0.899441482589554,16.727272727272727,338.45399999999995,320.31,338.07588443599997,118,0,0.30444616434211236,-0.31231994775853933,0.31231994775853933,0.30444616434211236,1.2272727272727273,2.0,2.6818181818181817,32.23331826007761,9.964817815979949,2.24395084276911,-2.2288911381055776,2.301090868976997,-2.3606159984191546,7.892850020958612,0.4116921103708804,2.946148623852068,1.8532829701569906,801.9450946174169,15.579139501373252,12.04087697338981,13.673870135245263,10.543643322813539,7.350746229819846,9.713562288669134,5.54588837615903,8.102064065421759,3.902875995088693,6.090738520162572,2.760223598968674,4.699457999109997,-1.44,141073.38070453244,15.455484382073333,6.355591884043971,3.4788131445755472,133.00449028583628,4.9839785209472085,0.0,0.0,10.023291153407584,0.0,4.872962597056311,4.794537184071822,13.139891848781026,0.0,0.0,42.73198488363599,24.97437738277524,16.985355091310872,10.589411470366237,8.417796984328938,21.36007703134232,0.0,9.706073385399296,0.0,38.14594894377801,0.0,55.46589378750371,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,19.443616334424107,10.023291153407584,21.025825559119543,32.10410811463005,34.44006822838418,0.0,0.0,0.0,79.03,10.023291153407584,13.212334168400758,0.0,15.810286901722048,11.257379486545457,37.020072369638775,6.4208216229260096,29.645531044312357,0.0,9.706073385399296,0.0,27.815678146258502,1.064882122346949,14.029668344707696,1.6970533072427012,1.3422088372385996,0.0,6.6982113200218345,5.1245117591073726,0.0,-3.5222138369236577,0.4,22,2,5,1,0,1,1,1,2,4,2,7,4,1,0,1,3,3.126260000000001,86.92620000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL3409991,12.340903013983372,12.340903013983372,0.1671392732814989,-3.5860101332199545,0.8826438316225417,18.952380952380953,326.399,312.287,326.039498928,112,0,0.30444616434211236,-0.37973046740756605,0.37973046740756605,0.30444616434211236,1.4285714285714286,2.2857142857142856,2.9523809523809526,32.23331820603337,10.104567833311853,2.254948335034635,-2.1435891518296106,2.2969972752085344,-2.349820264738414,7.892862688385142,0.19231720698071078,3.1007892073014123,1.8940276623879206,788.2526365749726,14.872032720186704,11.034911701480578,12.66790486333603,10.043643322813539,6.428096499009472,8.79091255785876,4.771468026914924,7.327643716177656,3.2273902833195054,5.415252808393384,2.1672478445906074,4.056672496278152,-1.48,93451.58512964996,14.456968809165158,5.721853951403024,3.2361392171646797,125.38815128654997,9.720841474747257,0.0,0.0,10.023291153407584,0.0,4.872962597056311,4.794537184071822,13.139891848781026,0.0,0.0,23.469520014857956,18.553555759849232,23.59223705582379,17.196293434879156,13.154659938128987,21.36007703134232,0.0,9.706073385399296,0.0,12.462662452073971,13.213763929025836,55.46589378750371,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,32.657380263449944,14.760154107207633,21.025825559119543,6.4208216229260096,34.44006822838418,0.0,0.0,0.0,88.25999999999999,10.023291153407584,13.212334168400758,0.0,15.810286901722048,30.891965038497304,11.336785877934737,6.06636706846161,23.579163975850747,0.0,9.706073385399296,4.736862953800049,32.4844351677897,1.0460383819122994,13.878327365183651,1.6729210758377424,1.2825431993785175,0.0,6.322033913874191,0.6773520494056211,0.9723589798382366,-3.5860101332199545,0.3076923076923077,21,2,6,0,1,1,1,1,2,5,2,8,4,0,1,1,3,1.5824600000000002,79.27720000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL3409990,12.341642809901739,12.341642809901739,0.04982756774784192,-3.59006105914588,0.8644661719955197,18.636363636363637,340.426,324.298,340.055148992,118,0,0.30444616434211236,-0.37685585139883304,0.37685585139883304,0.30444616434211236,1.4545454545454546,2.3181818181818183,3.0,32.233317579969516,10.10457859647288,2.2304000119499525,-2.139107231585372,2.2954769116439016,-2.318605680659191,7.892626197593427,0.11426294515947279,3.166677248689805,1.792110764709852,804.0003721449017,15.579139501373252,11.742018482667126,13.375011644522578,10.543643322813539,6.9400018808086354,9.302817939657924,5.076592897477317,7.685741460939346,3.500901529298506,5.591835995471008,2.3436391559171463,4.044231613962116,-1.48,158470.02955618393,15.417012010638263,6.330830765134218,3.4623447794661493,131.7530934009466,9.720841474747257,0.0,0.0,10.023291153407584,0.0,4.872962597056311,4.794537184071822,13.139891848781026,0.0,0.0,23.469520014857956,24.97437738277524,24.095152632588405,16.693377858114538,13.154659938128987,21.36007703134232,0.0,9.706073385399296,0.0,18.94560963360032,13.151638370425493,55.46589378750371,0.0,0.0,4.722094864452088,0.0,0.0,11.336785877934737,32.657380263449944,14.760154107207633,21.025825559119543,12.841643245852019,34.44006822838418,0.0,0.0,0.0,88.25999999999999,10.023291153407584,13.212334168400758,0.0,22.417168866234963,17.864261451058375,24.178429123786756,6.06636706846161,23.579163975850747,0.0,9.706073385399296,4.736862953800049,32.67702587073754,1.0469437317065382,13.897952270104614,1.6744661456435446,1.281960768875452,0.0,6.504651832955404,1.789556495449006,0.9675039436737809,-3.59006105914588,0.35714285714285715,22,2,6,0,1,1,1,1,2,5,2,8,5,0,1,1,3,1.9725599999999999,83.89420000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL3409987,12.172766833585285,12.172766833585285,0.009712773998488577,-3.891311059145879,0.7909903631916146,11.428571428571429,322.34700000000004,314.283,321.99617131591003,108,0,0.27071394408536226,-0.4856019471821151,0.4856019471821151,0.27071394408536226,1.3333333333333333,2.1904761904761907,2.857142857142857,32.2333179636908,10.10792061822344,2.1777988788596736,-2.1515201084056397,2.385942360744523,-2.0081910361379647,7.940929041271801,0.21452536302423633,3.1007892073014123,1.9547634921355923,856.2771013969517,14.872032720186704,10.37154771864653,12.004540880501983,10.043643322813539,5.678219312577113,7.997935452632647,3.967150075739757,6.407814354483301,2.557634677098535,4.477921585101003,1.641811849758469,3.1709877739683474,-2.39,93451.58512964996,13.586547188480598,5.185277001310925,2.878495526459784,123.47580816199482,14.351717196266142,0.0,0.0,10.023291153407584,5.193684038439675,0.0,5.156663257125445,13.401775505276145,0.0,0.0,23.469520014857956,24.01696398321986,10.94351426216291,16.852574466005294,18.047419316142992,21.36007703134232,0.0,10.140641778072654,0.0,0.0,0.0,73.86156575120305,0.0,0.0,0.0,0.0,0.0,11.336785877934737,23.664966157242297,10.023291153407584,27.164409778337934,0.0,46.49815604538637,0.0,4.722094864452088,0.0,107.39000000000001,10.023291153407584,13.524324379169643,0.0,15.907030291792477,11.257379486545457,11.336785877934737,24.46226420102389,17.512796907389134,0.0,19.385831579498088,0.0,32.45436225899655,1.0655339797254477,3.9108301839254223,14.269527735547083,1.0684851085495932,-0.021568667590492252,7.488555039286911,1.2389187540387034,0.0,-3.891311059145879,0.0,21,1,7,0,0,0,1,2,3,7,1,9,4,0,0,0,3,1.5667499999999999,73.73660000000002,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL4069308,12.51062389770723,12.51062389770723,0.05640636810279642,-0.05640636810279642,0.7308989062475066,14.727272727272727,310.422,292.278,310.113984196,112,0,0.28146494373583353,-0.3343984010162392,0.3343984010162392,0.28146494373583353,1.1363636363636365,2.0454545454545454,2.909090909090909,32.166642577043355,10.000245594385149,2.335200302974157,-2.175121508727133,2.4754365327002747,-2.3143318989223363,7.3725782819619505,0.7080988887368148,2.7081307507940124,1.7882334632727839,863.91969553185,14.940946820939052,12.393102209495101,13.209598790422827,10.809663088089316,7.884483196091807,8.700979777019532,5.919601310844646,7.024773026367185,4.34388882948416,5.5511226176226645,3.2673729509980696,4.5689116681269635,-1.94,189948.29086069204,13.704339702830351,5.687909657741574,2.477581402346879,132.59516472249496,4.9839785209472085,10.654800917620493,0.0,0.0,5.559266895052007,0.0,4.794537184071822,0.0,4.9839785209472085,11.336785877934737,36.75265696523406,36.81018947509803,11.29796881662731,5.386224214464796,0.0,11.336785877934737,0.0,9.967957041894417,0.0,38.524929737556064,0.0,72.73071473061246,0.0,0.0,0.0,0.0,0.0,11.336785877934737,9.967957041894417,19.26246486877803,37.60434220423259,19.26246486877803,35.126372526379875,0.0,0.0,0.0,45.75,0.0,4.794537184071822,0.0,5.559266895052007,6.4208216229260096,28.882668377937307,35.26651504587332,11.336785877934737,18.19910120538483,22.100691178817637,0.0,0.0,1.7563942953724698,22.61522271562946,0.8460293314856808,2.3747330351893847,0.7639902210884355,10.152200346045321,6.491430055189246,0.0,0.0,0.3333333333333333,22,1,3,1,0,1,1,2,3,3,1,4,2,0,0,0,4,4.096930000000002,87.58570000000005,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1507539,12.529184460821364,12.529184460821364,0.13287504199210542,-0.4668479544595614,0.9190268154599992,23.565217391304348,316.3570000000001,296.19700000000006,316.14230712,122,0,0.2744800696823415,-0.49181319946176016,0.49181319946176016,0.2744800696823415,1.2173913043478262,1.9565217391304348,2.739130434782609,16.745035088561455,9.941979120757978,2.433991588237003,-2.321482964642551,2.3910064042202666,-2.4946567991458046,6.0621390913193665,-0.18843694588946555,2.950733877688587,1.5893730064073572,779.7472958761541,15.863596551749424,12.902884472145429,12.902884472145429,11.168233757796587,8.174751621256798,8.174751621256798,6.378660175614714,6.378660175614714,4.7538881106467805,4.7538881106467805,3.5930954694395263,3.5930954694395263,-1.92,323388.63005915843,14.658349024845199,5.615486551196895,2.6171699210974895,133.18645170188978,14.580253302440804,6.103966387748303,5.7871111525705965,5.879988336435371,5.559266895052008,0.0,4.794537184071822,4.681802935145185,0.0,5.098681808301038,18.553555759849232,24.97437738277524,12.841643245852019,23.924086799355084,14.580253302440804,0.0,0.0,9.780484743446223,0.0,50.53994206086152,6.606881964512918,51.27170911833523,0.0,0.0,0.0,0.0,0.0,0.0,33.384971643118746,16.018482313512674,22.21170366041697,32.10410811463005,29.060005457918262,0.0,0.0,0.0,73.58000000000001,5.7871111525705965,9.901064578912528,0.0,17.54322161923568,23.924086799355084,25.683286491704038,11.102624558071195,24.26546827384644,0.0,5.098681808301038,9.473725907600098,13.278385770975056,0.0,12.529184460821364,15.009192834298805,-0.21611651759469197,-0.5997229964516668,6.9382833635485675,5.060112182412139,0.7506809019904259,0.0,0.5294117647058824,23,1,6,1,1,2,1,1,2,6,1,6,2,1,1,2,4,2.1869600000000005,81.60080000000004,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL188678,12.914883489693194,12.914883489693194,0.011011537330981813,-0.011011537330981813,0.37425065545818476,14.733333333333333,413.4980000000003,394.3460000000002,413.108564468,148,0,0.1996772059928685,-0.4396177242810049,0.4396177242810049,0.1996772059928685,0.8333333333333334,1.5666666666666667,2.433333333333333,32.16663541556477,9.883805141263409,2.3406973681612433,-2.3341082315783304,2.6301129071367346,-2.383822997969696,7.49311267466744,0.11782107273042035,3.182086945098549,1.6274888966124403,1460.3467778891263,20.078775022443736,16.25948684318749,17.07598342411521,14.79282633568371,10.096767735224777,10.913264316152501,7.511045838060464,8.563244679383706,5.758907216357924,6.978766936332701,4.275876552841969,5.506262311204607,-3.1499999999999995,20410974.84707565,17.686687869206374,6.971872710457729,2.7381019521358443,176.46750931899842,14.053923621703873,5.583020141642242,11.31297259376155,0.0,0.0,0.0,4.794537184071822,0.0,0.0,11.336785877934737,48.53093654769288,12.13273413692322,50.455071125548535,18.59998814349063,9.154013890853395,11.336785877934737,0.0,0.0,0.0,0.0,31.203186471701468,125.10598313227992,0.0,0.0,4.899909730850478,0.0,0.0,11.336785877934737,26.303276740850986,4.736862953800049,53.58140819513037,0.0,75.94172587420289,0.0,0.0,0.0,42.68000000000001,0.0,4.794537184071822,0.0,5.428790391900541,30.067190486993884,24.21641579521914,20.17228826186779,17.403152946396347,18.19910120538483,47.364479210081754,9.154013890853395,14.287940538984323,1.7814109492766597,14.999349533826898,3.1059746157288552,2.6925912540942307,0.6173756508776356,22.279253331438476,0.0,2.736104125772929,0.0,0.16,30,0,4,0,1,1,3,2,5,5,0,5,2,0,1,1,6,4.518500000000004,115.18500000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL278041,13.273721726935769,13.273721726935769,0.1976124034962421,-0.28842141177458624,0.5742392441280127,10.76,331.34999999999997,317.238,331.112090288,122,0,0.13803231074143033,-0.5079662136116391,0.5079662136116391,0.13803231074143033,0.84,1.68,2.36,19.142630762954536,10.024688424351346,2.2343632302196066,-2.1153407634504853,2.4046106386571156,-1.9508129967120227,5.855609403984573,0.4681011188686398,3.08912128645481,1.885293728463527,993.5629329483602,17.225403871315223,13.147808489784614,13.147808489784614,12.203509938206668,7.762951755197003,7.762951755197003,5.598672773642502,5.598672773642502,3.9312079848164503,3.9312079848164503,2.6733890084785026,2.6733890084785026,-3.4699999999999993,997020.0734458629,15.080885136281623,6.2030177080467555,2.9930860677077304,143.21091127571862,10.090505915787915,17.391137172329728,0.0,0.0,0.0,0.0,4.9839785209472085,9.374393568622029,0.0,0.0,0.0,60.6636706846161,29.08404161831714,11.387855989696922,9.496942442515525,0.0,0.0,14.951935562841626,0.0,0.0,0.0,118.52670546495992,0.0,0.0,0.0,4.39041504767482,0.0,0.0,20.05846295768233,0.0,45.469347637117636,0.0,73.05735782784225,0.0,0.0,0.0,61.8,0.0,9.496942442515525,0.0,11.5667326743298,5.824404497999927,28.078210464787908,12.13273413692322,48.791889553995816,12.13273413692322,9.967957041894417,4.9839785209472085,13.273721726935769,0.0,12.08691391666094,9.472314549948722,4.161268424036282,0.5815402925530995,16.831298675270535,3.4262757479279844,0.0,0.0,0.0,25,2,4,0,0,0,2,2,4,3,2,5,3,0,0,0,4,3.0479300000000014,89.73750000000001,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4096140,5.428337469642484,5.428337469642484,0.6257307151255564,0.6257307151255564,0.4724778983638627,11.333333333333334,313.31600000000003,302.22800000000007,313.085126592,114,0,0.15445723652089796,-0.4626287986810307,0.4626287986810307,0.15445723652089796,0.75,1.5833333333333333,2.4583333333333335,16.627397707461434,9.882780658580883,2.3256756793572553,-2.1797338968551734,2.4843219954842874,-2.045645863888189,6.191682053978938,0.2171212594416104,3.32047576401318,1.747437578345166,1159.8810775245427,15.932510652501772,12.508990328513487,12.508990328513487,11.898979485566356,7.53832432186646,7.53832432186646,5.51327424370063,5.51327424370063,4.076562512324155,4.076562512324155,2.9031228592423024,2.9031228592423024,-3.4699999999999998,1081721.3510698657,13.013626545130808,5.025204471026031,1.914997697510719,136.07633294026272,8.940245874026695,23.16771970295224,5.760247418874442,0.0,0.0,0.0,0.0,0.0,0.0,10.197363616602075,41.55486566789511,28.97154963431442,5.563451491696996,11.649387210103853,8.940245874026695,0.0,0.0,15.35402687372752,0.0,0.0,0.0,111.51055786871163,0.0,0.0,0.0,0.0,0.0,0.0,15.35402687372752,0.0,44.38692826127901,0.0,76.06387548145932,0.0,0.0,0.0,64.95,0.0,0.0,0.0,0.0,22.664804126187626,16.335899920626588,5.386224214464796,12.526325991278114,30.33183534230805,39.61949514757396,8.940245874026695,10.609950281433868,0.0,0.0,15.941655812271343,2.9429392374233645,0.6395939549934861,18.01862271077955,3.180571336431726,0.0,0.0,0.0,24,0,5,0,0,0,2,3,5,5,0,5,2,0,0,0,5,3.081120000000001,83.18700000000003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0